Geneid	S1	S2	S3	S4	S5	S6	S7	S8
ENSG00000083444.17	1378	1163	1008	581	918	921	616	656
ENSG00000287384.1	10	6	2	4	0	0	12	6
ENSG00000116688.18	263	316	657	302	100	150	410	441
ENSG00000270914.1	0	0	0	0	0	0	0	0
ENSG00000116691.11	210	146	539	279	133	82	429	370
ENSG00000202461.1	0	0	0	0	2	0	0	0
ENSG00000276869.1	0	0	0	0	0	0	0	0
ENSG00000243539.3	1	0	0	0	0	0	0	0
ENSG00000120949.15	12	0	6	1	0	5	16	8
ENSG00000201135.1	0	0	0	0	0	0	0	0
ENSG00000227875.2	0	0	0	0	0	0	0	0
ENSG00000285604.1	0	0	1	0	0	0	0	0
ENSG00000283789.1	0	0	0	0	0	0	0	0
ENSG00000028137.19	38	18	140	59	14	5	86	68
ENSG00000263676.1	0	0	0	0	0	0	3	0
ENSG00000225196.2	0	0	1	0	0	0	0	0
ENSG00000252969.1	0	0	0	0	0	0	0	0
ENSG00000048707.15	402	348	674	291	207	187	363	391
ENSG00000239149.1	2	0	1	0	0	0	0	0
ENSG00000229484.2	3	0	3	2	0	0	0	0
ENSG00000162496.9	19	52	64	40	20	10	40	35
ENSG00000221340.1	0	0	0	0	0	0	0	0
ENSG00000276830.1	0	0	0	0	0	0	0	0
ENSG00000288927.1	1	14	8	8	3	3	4	6
ENSG00000272482.1	0	0	4	0	0	0	0	0
ENSG00000204518.3	0	0	4	3	0	0	0	0
ENSG00000226166.2	0	0	0	0	0	0	1	1
ENSG00000188984.12	7	0	1	0	0	0	1	1
ENSG00000157330.10	3	0	3	2	0	0	0	0
ENSG00000116726.5	0	4	0	0	0	0	0	0
ENSG00000116721.9	0	0	0	0	0	0	0	0
ENSG00000228338.1	0	0	0	0	0	0	0	0
ENSG00000239810.3	0	3	1	0	0	0	0	0
ENSG00000231103.2	0	0	2	0	0	0	0	0
ENSG00000179172.10	1	0	1	5	0	0	2	0
ENSG00000120952.4	0	0	0	0	0	0	5	0
ENSG00000243073.4	0	0	0	0	0	0	0	0
ENSG00000187545.5	0	0	0	0	0	0	0	0
ENSG00000204510.5	0	0	0	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0	0	0	0
ENSG00000232423.6	0	0	0	0	0	0	0	0
ENSG00000274178.2	0	0	0	0	0	0	0	0
